Rk;Player;Pos;Age;Tm;G;MP;PER;TS%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Column1;OWS;DWS;WS;WS/48;2;OBPM;DBPM;BPM;VORP
453;Alen Smailagić;C;19;GSW;14;139;145;.610;.325;.475;75;137;105;143;10;26;185;182;;2;1;2;.081;;-14;-8;-22;0
454;Marcus Smart;SG;25;BOS;60;1919;138;.518;.579;.223;24;101;63;211;25;14;121;189;;17;28;45;.112;;0;14;14;16
455;Dennis Smith Jr.;PG;22;NYK;34;537;74;.399;.256;.251;41;117;77;264;25;14;198;231;;-14;5;-9;-0.079;;-52;-9;-61;-6
456;Ish Smith;PG;31;WAS;68;1787;139;.509;.245;.125;18;120;67;271;15;15;116;191;;13;6;19;.051;;-3;-10;-13;3
457;J.R. Smith;SG;34;LAL;6;79;0;.372;.500;.091;0;69;35;48;6;0;149;143;;-2;1;-1;-0.077;;-78;-20;-98;-2
458;Zhaire Smith;SF;20;PHI;7;32;11;.313;.273;.364;0;69;35;82;45;0;136;199;;-1;1;-1;-0.120;;-108;8;-100;-1
459;Tony Snell;SF;28;DET;59;1641;97;.598;.665;.084;6;71;38;109;10;8;73;114;;21;5;26;.076;;-12;-6;-18;1
460;Omari Spellman;C;22;GSW;49;886;144;.551;.373;.312;91;180;134;81;18;24;139;188;;5;7;12;.066;;-8;-10;-17;1
461;Max Strus;SF;23;CHI;2;6;307;.727;.333;.333;175;0;92;0;0;0;0;244;;0;0;0;.316;;53;-10;44;0
462;Edmond Sumner;SG;24;IND;31;447;101;.491;.373;.204;27;85;56;167;16;18;124;173;;-1;5;4;.047;;-32;2;-30;-1
463;Caleb Swanigan;PF-C;22;TOT;27;288;76;.597;.043;.362;99;264;183;139;5;22;404;135;;-2;2;0;.004;;-62;2;-60;-3
463;Caleb Swanigan;C;22;SAC;7;23;-1;.512;.000;.500;96;251;171;115;21;83;551;205;;-1;0;-1;-0.177;;-146;33;-113;-1
