Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
208;Udonis Haslem;C;39;MIA;4;1;44;33;90;.364;8;25;.333;25;65;.375;25;33;.750;8;123;131;8;0;0;8;49;98
209;Jaxson Hayes;C;19;NOP;64;14;1080;58;86;.672;0;1;.250;58;85;.678;41;63;.647;32;54;86;19;9;18;18;54;157
210;Gordon Hayward;SF;29;BOS;52;52;1740;72;145;.500;18;46;.383;55;99;.554;26;30;.855;11;61;72;44;8;5;20;20;188
211;John Henson;C;29;TOT;40;8;600;57;103;.556;5;22;.222;52;81;.644;14;28;.500;28;70;97;32;14;25;22;47;133
211;John Henson;C;29;CLE;29;2;412;53;105;.508;5;27;.194;48;78;.618;15;29;.515;28;72;100;38;14;28;18;48;127
211;John Henson;C;29;DET;11;6;188;65;98;.667;4;10;.400;61;88;.696;11;25;.462;27;65;92;21;15;19;29;44;146
212;Dewan Hernandez;C;23;TOR;6;0;28;64;180;.357;13;26;.500;51;154;.333;39;64;.600;64;116;180;39;13;0;39;77;180
213;Juan Hernangómez;PF;24;TOT;48;14;833;43;107;.405;19;56;.341;24;51;.475;19;31;.620;19;67;85;17;8;4;14;28;124
213;Juan Hernangómez;PF;24;DEN;34;0;422;32;94;.345;13;51;.250;20;43;.460;14;21;.640;20;61;81;19;4;4;15;25;91
213;Juan Hernangómez;PF;24;MIN;14;14;411;54;120;.453;25;60;.420;29;60;.485;25;40;.609;17;73;89;16;12;4;12;31;159
214;Willy Hernangómez;C;25;CHO;31;0;375;71;133;.532;5;21;.227;66;112;.590;36;57;.627;41;87;129;28;10;7;29;31;182
215;Tyler Herro;SG;20;MIA;55;8;1508;64;151;.428;28;71;.389;37;79;.462;21;24;.870;4;50;53;29;8;2;21;18;177
216;Kevin Hervey;PF;23;OKC;10;0;52;48;187;.259;21;138;.150;28;48;.571;0;0;;7;76;83;35;7;7;0;28;118
217;Mario Hezonja;PF;24;POR;53;4;871;38;90;.422;10;32;.308;28;58;.486;20;24;.814;12;64;76;21;15;4;17;44;106
218;Buddy Hield;SG;27;SAC;72;44;2216;81;189;.429;44;112;.394;37;77;.479;19;22;.846;9;44;53;35;11;3;27;27;225
219;George Hill;PG;33;MIL;59;2;1271;55;106;.516;23;50;.460;32;57;.565;24;29;.842;14;36;50;51;13;1;16;24;157
220;Solomon Hill;PF;28;TOT;59;4;1088;36;92;.396;21;57;.368;16;35;.439;13;18;.741;10;45;55;34;14;4;17;28;107
220;Solomon Hill;PF;28;MEM;48;3;901;38;93;.412;22;59;.381;16;34;.465;10;15;.684;10;48;58;38;12;3;16;29;109
220;Solomon Hill;PF;28;MIA;11;1;187;27;87;.311;13;46;.292;13;40;.333;27;31;.875;10;31;40;19;23;10;21;23;94
221;Jaylen Hoard;PF;20;POR;13;0;103;52;112;.469;0;10;.000;52;101;.517;28;45;.615;49;63;112;14;17;0;14;42;133
222;Aaron Holiday;PG;23;IND;66;33;1617;52;125;.414;19;49;.394;33;76;.427;16;19;.851;5;30;35;50;12;4;20;27;140
223;Jrue Holiday;SG;29;NOP;61;61;2117;78;171;.455;21;59;.353;57;112;.509;22;31;.709;13;37;50;69;17;8;31;25;198
224;Justin Holiday;SF;30;IND;73;6;1826;41;96;.428;26;65;.405;15;31;.477;10;13;.791;6;41;47;18;17;9;9;27;119
225;Rondae Hollis-Jefferson;PF;25;TOR;60;6;1122;50;106;.471;1;7;.130;49;98;.497;34;46;.734;35;56;91;34;15;7;19;37;134
226;Richaun Holmes;C;26;SAC;44;38;1242;65;100;.648;0;0;;65;100;.648;27;34;.788;37;67;104;12;12;16;15;49;156
227;Rodney Hood;SF;27;POR;21;21;619;51;100;.506;20;41;.493;30;59;.515;12;16;.778;6;36;42;19;10;2;11;27;134
228;Al Horford;C;33;PHI;67;61;2025;57;126;.450;18;50;.350;39;76;.516;11;14;.763;18;63;81;48;9;11;14;25;142
229;Talen Horton-Tucker;SG;19;LAL;6;1;81;62;133;.467;18;58;.308;44;76;.588;9;18;.500;9;22;31;27;36;4;27;44;151
230;Danuel House;SF;26;HOU;63;52;1913;43;101;.427;24;67;.363;19;35;.549;14;17;.811;11;40;50;16;13;6;10;25;125
231;Dwight Howard;C;34;LAL;69;2;1306;56;76;.729;1;1;.600;55;75;.732;30;59;.514;47;92;140;12;9;22;23;61;143
232;William Howard;PF;26;HOU;2;0;13;0;111;.000;0;111;.000;0;0;;0;0;;0;55;55;28;0;0;28;28;0
233;Kevin Huerter;SG;21;ATL;56;48;1760;52;125;.413;26;68;.380;26;56;.453;11;13;.828;7;39;47;44;10;6;18;28;140
234;De'Andre Hunter;SF;22;ATL;63;62;2018;50;122;.410;19;54;.355;31;68;.454;20;26;.764;8;43;51;20;8;3;18;32;139
235;Chandler Hutchison;SF;23;CHI;28;10;527;55;120;.457;8;26;.316;46;94;.496;31;53;.590;12;61;74;18;18;5;18;32;149
236;Serge Ibaka;C;30;TOR;55;27;1485;83;162;.512;17;44;.385;66;118;.559;22;30;.718;28;82;110;19;7;11;26;37;205
237;Andre Iguodala;SF;36;MIA;21;0;418;33;76;.432;12;40;.298;21;35;.585;5;13;.400;15;53;67;44;12;18;22;30;83
238;Ersan İlyasova;PF;32;MIL;63;8;986;53;114;.466;18;50;.365;35;64;.545;26;32;.828;23;88;110;18;9;6;12;35;151
239;Joe Ingles;PF;32;UTA;72;45;2137;41;93;.445;24;59;.399;18;34;.525;12;16;.787;5;42;47;63;11;2;24;26;119
240;Brandon Ingram;PF;22;NOP;62;62;2104;87;188;.463;26;66;.391;61;122;.501;54;63;.851;9;56;65;44;10;7;32;31;253
241;Kyrie Irving;PG;27;BRK;20;20;658;109;228;.478;31;78;.394;78;150;.522;51;56;.922;12;44;56;70;15;5;28;29;300
242;Jonathan Isaac;PF;22;ORL;34;32;980;57;122;.470;12;35;.340;46;87;.521;22;28;.779;21;64;85;18;19;29;18;30;148
243;Wesley Iwundu;SF;25;ORL;52;21;953;37;88;.416;11;31;.341;26;57;.457;29;37;.804;9;40;49;23;9;5;10;30;113
244;Frank Jackson;PG;21;NOP;59;2;797;61;150;.405;21;65;.326;39;84;.465;25;34;.747;10;28;37;28;8;2;22;35;168
245;Jaren Jackson Jr.;C;20;MEM;57;57;1622;78;167;.469;32;82;.394;46;85;.540;31;41;.747;12;46;58;17;9;20;22;51;220
246;Josh Jackson;SF;22;MEM;22;0;381;66;150;.440;22;68;.319;44;82;.540;33;47;.700;10;52;62;33;17;9;26;38;187
247;Justin Jackson;PF;24;DAL;65;3;1045;47;117;.396;17;56;.294;30;61;.489;14;17;.840;9;44;53;18;5;3;5;24;124
248;Reggie Jackson;SG-PG;29;TOT;31;16;743;65;158;.411;28;70;.393;37;88;.425;22;26;.833;8;36;45;61;6;2;25;29;179
248;Reggie Jackson;PG;29;DET;14;10;381;72;187;.384;29;77;.378;43;110;.388;25;31;.788;10;28;39;68;8;1;22;20;197
248;Reggie Jackson;SG;29;LAC;17;6;362;58;127;.453;26;63;.413;32;65;.492;19;21;.905;6;45;51;54;5;4;28;38;160
249;Justin James;SF;23;SAC;36;0;232;54;130;.417;14;45;.310;40;85;.473;16;33;.476;9;40;50;28;9;14;12;26;138
250;LeBron James;PG;35;LAL;67;67;2316;100;203;.493;23;66;.348;77;136;.564;41;59;.693;10;71;82;106;12;6;41;18;264
251;Amile Jefferson;PF;26;ORL;18;0;74;24;68;.357;0;0;;24;68;.357;24;68;.357;49;63;112;19;5;15;15;34;73
252;DaQuan Jeffries;SG;22;SAC;13;0;141;51;102;.500;13;46;.278;38;56;.682;13;15;.833;8;38;46;18;10;3;5;49;128
253;Ty Jerome;SG;22;PHO;31;0;328;42;124;.336;15;55;.280;26;69;.381;13;18;.750;8;43;50;48;16;3;20;32;112
254;Alize Johnson;PF;23;IND;17;1;118;37;88;.414;9;24;.375;27;64;.429;21;31;.700;49;98;146;21;9;6;21;37;104
255;B.J. Johnson;SF;24;ORL;10;0;83;39;139;.281;13;39;.333;26;100;.261;39;43;.900;13;52;65;13;13;0;26;13;130
256;Cameron Johnson;PF;23;PHO;57;9;1255;50;116;.435;30;78;.390;20;38;.526;13;16;.807;14;40;54;20;10;6;9;25;145
257;James Johnson;PF-C;32;TOT;32;1;619;60;125;.479;19;53;.363;41;72;.565;18;28;.646;15;54;69;43;15;19;28;47;157
257;James Johnson;PF;32;MIA;18;0;281;50;111;.448;20;58;.356;29;54;.548;10;18;.571;10;56;67;27;8;17;19;44;131
257;James Johnson;C;32;MIN;14;1;338;68;136;.500;18;49;.370;50;87;.573;24;36;.676;18;52;70;56;20;20;35;49;179
258;Keldon Johnson;SF;20;SAS;17;1;301;63;106;.596;16;26;.591;48;80;.597;42;53;.795;12;56;68;18;17;2;16;33;184
259;Stanley Johnson;PF;23;TOR;25;0;150;53;142;.373;17;58;.292;36;84;.429;22;38;.563;17;72;89;48;14;10;36;38;144
260;Tyler Johnson;PG-SG;27;TOT;39;7;709;49;127;.388;19;60;.319;30;67;.450;21;25;.840;9;29;39;38;8;5;15;29;139
260;Tyler Johnson;PG;27;PHO;31;3;515;45;120;.380;17;58;.289;29;62;.466;17;22;.750;7;29;36;35;8;6;17;30;124
260;Tyler Johnson;SG;27;BRK;8;4;194;59;147;.405;26;67;.389;33;80;.419;33;33;1.000;15;30;45;45;7;2;9;28;178
261;Nikola Jokić;C;24;DEN;73;73;2336;87;165;.528;12;39;.314;75;126;.594;38;46;.817;26;84;110;79;13;7;35;34;224
262;Damian Jones;C;24;ATL;55;27;887;49;72;.680;1;4;.222;48;69;.704;25;34;.738;30;54;84;14;11;16;11;60;124
263;Derrick Jones Jr.;SF;22;MIA;59;16;1375;48;91;.527;10;35;.280;38;57;.677;25;32;.772;17;44;61;16;15;10;8;34;131
264;Tyus Jones;PG;23;MEM;65;6;1232;58;125;.459;14;36;.379;44;89;.492;13;17;.741;3;27;30;83;17;2;16;13;141
265;DeAndre Jordan;C;31;BRK;56;6;1234;56;84;.666;0;0;;56;84;.666;24;36;.680;41;123;164;31;5;15;22;33;136
266;Cory Joseph;PG;28;SAC;72;26;1759;35;84;.415;11;33;.352;24;52;.455;12;14;.857;9;29;38;51;11;4;16;27;94
267;Mfiondu Kabengele;C;22;LAC;12;0;64;79;180;.438;51;113;.450;28;68;.417;28;28;1.000;6;56;62;11;11;11;11;51;236
268;Frank Kaminsky;C;26;PHO;39;13;777;64;142;.450;19;57;.331;45;85;.530;28;42;.678;16;65;82;35;6;5;17;35;175
269;Enes Kanter;C;27;BOS;58;7;983;73;127;.572;0;3;.143;73;125;.581;26;36;.707;60;98;158;21;8;15;21;37;172
270;Luke Kennard;SG;23;DET;28;25;922;59;134;.442;29;71;.399;30;62;.491;26;29;.893;4;35;38;45;5;2;17;25;173
271;Stanton Kidd;SG;27;UTA;4;0;15;0;72;.000;0;24;.000;0;48;.000;0;0;;0;72;72;24;0;0;48;72;0
272;Michael Kidd-Gilchrist;PF;26;TOT;25;0;281;28;85;.333;6;26;.250;22;59;.370;14;18;.786;18;68;86;18;3;8;20;47;77
272;Michael Kidd-Gilchrist;PF;26;CHO;12;0;160;41;119;.340;11;38;.294;29;81;.361;16;20;.778;20;59;79;23;0;7;16;41;108
